IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.253.114,4,4,0.00,52.33,26.00
104.25.242.17,4,4,0.00,53.03,23.60
104.25.254.208,4,4,0.00,53.10,22.76
172.64.153.93,4,4,0.00,53.62,21.75
104.25.244.242,4,4,0.00,53.01,21.43
104.25.246.194,4,4,0.00,53.06,21.20
104.25.250.152,4,4,0.00,53.85,21.09
104.25.248.202,4,4,0.00,53.00,20.91
104.25.252.195,4,4,0.00,53.27,20.05
104.25.241.143,4,4,0.00,53.39,19.95
