IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.247.63,4,4,0.00,67.07,25.41
172.64.146.225,4,4,0.00,65.46,25.08
104.25.241.152,4,4,0.00,66.97,24.70
104.25.253.31,4,4,0.00,53.62,24.55
104.25.254.67,4,4,0.00,65.36,23.98
104.25.241.56,4,4,0.00,67.98,23.68
172.64.153.68,4,4,0.00,72.51,23.50
104.25.249.1,4,4,0.00,53.08,23.42
104.25.247.108,4,4,0.00,64.56,23.39
172.64.229.158,4,4,0.00,134.78,11.70
104.16.250.81,4,4,0.00,131.29,9.13
104.17.16.18,4,4,0.00,133.13,8.83
