IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.132.35,4,4,0.00,135.77,9.78
104.18.122.52,4,4,0.00,135.48,9.38
104.16.139.6,4,4,0.00,136.17,9.33
104.16.106.58,4,4,0.00,134.17,9.18
162.159.160.93,4,4,0.00,133.71,9.16
104.16.101.22,4,4,0.00,135.07,8.92
162.159.138.19,4,4,0.00,134.22,8.90
172.67.5.89,4,4,0.00,134.14,8.62
104.18.124.232,4,4,0.00,135.54,8.33
104.16.111.222,4,4,0.00,134.71,8.11
