IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.243.58,4,4,0.00,50.62,28.08
172.67.1.58,4,4,0.00,131.61,26.38
104.16.73.64,4,4,0.00,189.42,24.67
104.16.1.62,4,4,0.00,122.40,23.11
172.67.61.213,4,4,0.00,198.55,21.85
104.17.104.134,4,4,0.00,128.07,14.04
